Discipline,Knowledge Area,Tool / Technology,Role / System Orientation,Theme Cluster,,,
Archival Studies,Metadata Structuring,Markdown + YAML,Digital Archivist,Archiving & Memory,,,
AI Ethics,Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Disability & Access Studies,UX & Accessibility,Figma,UX Designer,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Participatory System Design,Figma,Participatory Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Localisation,Multilingual Design Toolkits,Access Strategist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Sentiment Interpretation,RiTa.js,Narrative Systems Builder,Creative & Critical Expression,,,
Critical / Creative Coding,Live Coding and Performance Systems,Sonic Pi,Live Systems Performer,Creative & Critical Expression,,,
Human–Computer Interaction (HCI),Full-Stack Systems,Node.js / Express,System Architect,System Infrastructure,,,
User Experience (UX),Sentiment Analysis,Sentiment.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Human-Centred Design,Ethical Deployment,DPIAs,Policy Hacker,Governance & Ethics,,,
Design Studies,UX & Accessibility,WAVE,UX Designer,Digital Participation & Inclusion,,,
Digital Humanities,Digital Archiving and Memory Systems,GitHub Pages,Digital Archivist,Archiving & Memory,,,
Internet Studies,Platform Governance,TOS;DR,Platform Critic,Platform Governance,,,
Critical Data Studies,Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Data Science,Machine Learning (ML),ML5.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Media and Platform Studies,Moderation Systems,APIs,Platform Critic,Platform Governance,,,
Science and Technology Studies (STS),Algorithmic Bias,ML5.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Political Economy of Technology,Open Data and Open Data Sources,Open Data Portals,Policy Hacker,Data & Visualization,,,
Surveillance Studies,Data Extractivism,Blacklight (by The Markup),Platform Critic,Data Justice & Surveillance,,,
Law and Policy,GDPR,Custom Tool,Technologist,Governance & Ethics,,,
Archival Studies,Digital Archiving and Memory Systems,GitHub Pages,Digital Archivist,Archiving & Memory,,,
AI Ethics,Policy Frameworks,TOS;DR,Policy Hacker,Platform Governance,,,
Disability & Access Studies,Inclusive Infrastructure,Accessibility Tools,Access Strategist,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Ethical Deployment and Maintenance,Custom Tool,Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Participatory System Design,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Narrative & Storytelling,p5.js,Code-Based Storyteller,Creative & Critical Expression,,,
Critical / Creative Coding,Live Coding and Performance Systems,Sonic Pi,Live Systems Performer,Creative & Critical Expression,,,
Human–Computer Interaction (HCI),Feedback Systems,ObservableHQ,Participatory Technologist,System Infrastructure,,,
User Experience (UX),UX & Accessibility,Figma,UX Designer,Digital Participation & Inclusion,,,
Human-Centred Design,Participatory System Design,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Design Studies,Data Visualisation and Storytelling,D3.js,Narrative Systems Builder,Data & Visualization,,,
Digital Humanities,Narrative & Storytelling,p5.js,Code-Based Storyteller,Creative & Critical Expression,,,
Internet Studies,Data Extractivism,Blacklight (by The Markup),Platform Critic,Data Justice & Surveillance,,,
Critical Data Studies,Algorithmic Bias,ML5.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Data Science,Natural Language Processing (NLP),Hugging Face APIs,Code-Based Storyteller,AI & Automation,,,
Media and Platform Studies,Sentiment Analysis,Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Science and Technology Studies (STS),Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Political Economy of Technology,Open Data and Open Data Sources,Open Data Portals,Public Technologist,Data & Visualization,,,
Surveillance Studies,Signals and Behavioural Inference,Custom Tool,Technologist,Data Justice & Surveillance,,,
Law and Policy,GDPR,Custom Tool,Technologist,Governance & Ethics,,,
Archival Studies,Digital Archiving and Memory Systems,Static Site Generators (Jekyll),Digital Archivist,Archiving & Memory,,,
AI Ethics,Artificial Intelligence (AI),Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Disability & Access Studies,Multilingual Systems,WebXR,Access Strategist,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Ethical Deployment and Maintenance,Custom Tool,Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Participatory System Design,Figma,Participatory Technologist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Interface Design,HTML / CSS / JavaScript,UX Designer,Creative & Critical Expression,,,
Critical / Creative Coding,Code as Narrative / Code as Protest,PoetJS,Code-Based Storyteller,Creative & Critical Expression,,,
Human–Computer Interaction (HCI),UX & Accessibility,WAVE,Access Strategist,Digital Participation & Inclusion,,,
User Experience (UX),UX & Accessibility,Accessibility Tools,Access Strategist,Digital Participation & Inclusion,,,
Human-Centred Design,Participatory System Design,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Design Studies,UX & Accessibility,Figma,Access Strategist,Digital Participation & Inclusion,,,
Digital Humanities,Narrative & Storytelling,PoetJS,Code-Based Storyteller,Creative & Critical Expression,,,
Internet Studies,Platform Governance,TOS;DR,Platform Critic,Platform Governance,,,
Critical Data Studies,Open Data and Open Data Sources,Open Data Portals,Public Technologist,Data & Visualization,,,
Data Science,Data Visualisation and Storytelling,ObservableHQ,Narrative Systems Builder,Data & Visualization,,,
Media and Platform Studies,Sentiment Analysis,Hugging Face APIs,Narrative Systems Builder,AI & Automation,,,
Science and Technology Studies (STS),Speculative and Critical Prototyping,p5.js,Speculative Prototyper,Creative & Critical Expression,,,
Political Economy of Technology,Infrastructure Geopolitics,Cloudflare,System Architect,Platform Governance,,,
Surveillance Studies,Data Surveillance,Comfy UI / Stable Diffusion,Privacy-Focused Designer,Data Justice & Surveillance,,,
Law and Policy,Ethical Deployment and Maintenance,Custom Tool,Technologist,Digital Participation & Inclusion,,,
Archival Studies,Metadata Structuring,Markdown + YAML,Digital Archivist,Archiving & Memory,,,
AI Ethics,Sentiment Analysis,Hugging Face APIs,Narrative Systems Builder,AI & Automation,,,
Disability & Access Studies,Multilingual Systems,Figma,Access Strategist,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Ethical Deployment and Maintenance,Custom Tool,Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Feedback Systems,Browser Developer Tools,Participatory Technologist,System Infrastructure,,,
Communication & Narrative Studies,Natural Language Processing (NLP),RiTa.js,Code-Based Storyteller,AI & Automation,,,
Critical / Creative Coding,Code as Narrative / Code as Protest,RiTa.js,Code-Based Storyteller,Creative & Critical Expression,,,
Human–Computer Interaction (HCI),UX & Accessibility,Accessibility Tools,Access Strategist,Digital Participation & Inclusion,,,
User Experience (UX),UX & Accessibility,WAVE,UX Designer,Digital Participation & Inclusion,,,
Human-Centred Design,Participatory System Design,Figma,Participatory Technologist,Digital Participation & Inclusion,,,
Design Studies,UX & Accessibility,Figma,Access Strategist,Digital Participation & Inclusion,,,
Digital Humanities,Digital Archiving and Memory Systems,Static Site Generators (Jekyll),Digital Archivist,Archiving & Memory,,,
Internet Studies,Data Extractivism,Blacklight (by The Markup),Platform Critic,Data Justice & Surveillance,,,
Critical Data Studies,Algorithmic Bias,ML5.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Data Science,Data Visualisation and Storytelling,D3.js,Narrative Systems Builder,Data & Visualization,,,
Media and Platform Studies,Moderation Systems,Glitch,Platform Critic,Platform Governance,,,
Science and Technology Studies (STS),Algorithmic Bias,ML5.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Political Economy of Technology,Platform Governance,TOS;DR,Platform Critic,Platform Governance,,,
Surveillance Studies,Behavioural Inference,Custom Tool,Technologist,Data Justice & Surveillance,,,
Law and Policy,GDPR,Custom Tool,Technologist,Governance & Ethics,,,
Archival Studies,Metadata Structuring,Git-based Publishing,Digital Archivist,Archiving & Memory,,,
AI Ethics,Sentiment Analysis,Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Disability & Access Studies,Multilingual Systems,WebXR,Access Strategist,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Ethical Deployment and Maintenance,Custom Tool,Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Participatory System Design,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Sentiment Interpretation,Sentiment.js,Narrative Systems Builder,Creative & Critical Expression,,,
Critical / Creative Coding,Computational Embodiment and Real-Time Interaction,Bare Conductive,Access Strategist,Creative & Critical Expression,,,
Human–Computer Interaction (HCI),UX & Accessibility,Accessibility Tools,Access Strategist,Digital Participation & Inclusion,,,
User Experience (UX),Sentiment Analysis,Sentiment.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Human-Centred Design,Consent Frameworks,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Design Studies,Data Visualisation and Storytelling,D3.js,Narrative Systems Builder,Data & Visualization,,,
Digital Humanities,Narrative & Storytelling,PoetJS,Narrative Systems Builder,Creative & Critical Expression,,,
Internet Studies,Platform Governance,TOS;DR,Platform Critic,Platform Governance,,,
Critical Data Studies,Data Surveillance,Blacklight (by The Markup),Privacy-Focused Designer,Data Justice & Surveillance,,,
Data Science,Data Visualisation and Storytelling,D3.js,Narrative Systems Builder,Data & Visualization,,,
Media and Platform Studies,Sentiment Analysis,Hugging Face APIs,Narrative Systems Builder,AI & Automation,,,
Science and Technology Studies (STS),Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Political Economy of Technology,Infrastructure Geopolitics,Render,System Architect,Platform Governance,,,
Surveillance Studies,Signals and Behavioural Inference,Custom Tool,Technologist,Data Justice & Surveillance,,,
Law and Policy,GDPR,Custom Tool,Technologist,Governance & Ethics,,,
Archival Studies,Memory Systems,GitHub Pages,Digital Archivist,Archiving & Memory,,,
AI Ethics,Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Disability & Access Studies,UX & Accessibility,Figma,Access Strategist,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Participatory System Design,Figma,Participatory Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Participatory System Design,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Natural Language Processing (NLP),Hugging Face APIs,Narrative Systems Builder,AI & Automation,,,
Critical / Creative Coding,Computational Embodiment and Real-Time Interaction,Makey Makey,Critical Technologist,Creative & Critical Expression,,,
Human–Computer Interaction (HCI),Full-Stack Systems,HTML / CSS / JavaScript,System Architect,System Infrastructure,,,
User Experience (UX),Sentiment Analysis,Hugging Face APIs,Narrative Systems Builder,AI & Automation,,,
Human-Centred Design,Consent Frameworks,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Design Studies,Data Visualisation and Storytelling,ObservableHQ,Narrative Systems Builder,Data & Visualization,,,
Digital Humanities,Open Data and Open Data Sources,Open Data Portals,Policy Hacker,Data & Visualization,,,
Internet Studies,Data Extractivism,Blacklight (by The Markup),Platform Critic,Data Justice & Surveillance,,,
Critical Data Studies,Open Data and Open Data Sources,Open Data Portals,Policy Hacker,Data & Visualization,,,
Data Science,Data Architecture,MongoDB,Data Steward / Architect,Data & Visualization,,,
Media and Platform Studies,Moderation Systems,APIs,Platform Critic,Platform Governance,,,
Science and Technology Studies (STS),Algorithmic Bias,ML5.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Political Economy of Technology,Platform Governance,Blacklight (by The Markup),Platform Critic,Platform Governance,,,
Surveillance Studies,Data Extractivism,Blacklight (by The Markup),Platform Critic,Data Justice & Surveillance,,,
Law and Policy,Digital Rights and Regulation,TOS;DR,Policy Hacker,Platform Governance,,,
Archival Studies,Digital Archiving and Memory Systems,Static Site Generators (Jekyll),Digital Archivist,Archiving & Memory,,,
AI Ethics,Artificial Intelligence (AI),Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Disability & Access Studies,UX & Accessibility,WAVE,Access Strategist,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Participatory System Design,Figma,Participatory Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Localisation,Figma,Access Strategist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Interface Design,Figma,UX Designer,Creative & Critical Expression,,,
Critical / Creative Coding,Generative Systems and Algorithmic Expression,OpenFrameworks,Creative Coder / Generative Systems Designer,Creative & Critical Expression,,,
Human–Computer Interaction (HCI),Full-Stack Systems,Node.js / Express,System Architect,System Infrastructure,,,
User Experience (UX),Sentiment Analysis,Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Human-Centred Design,Consent Frameworks,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Design Studies,UX & Accessibility,Figma,Access Strategist,Digital Participation & Inclusion,,,
Digital Humanities,Open Data and Open Data Sources,World Bank Open Data,Public Technologist,Data & Visualization,,,
Internet Studies,Infrastructure Geopolitics,Render,System Architect,Platform Governance,,,
Critical Data Studies,Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Data Science,Data Architecture,MongoDB,Data Steward / Architect,Data & Visualization,,,
Media and Platform Studies,Sentiment Analysis,Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Science and Technology Studies (STS),Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Political Economy of Technology,Platform Governance,Blacklight (by The Markup),Platform Critic,Platform Governance,,,
Surveillance Studies,Signals and Behavioural Inference,Custom Tool,Technologist,Data Justice & Surveillance,,,
Law and Policy,GDPR,Custom Tool,Technologist,Governance & Ethics,,,
Archival Studies,Memory Systems,GitHub Pages,Digital Archivist,Archiving & Memory,,,
AI Ethics,Sentiment Analysis,Sentiment.js,Narrative Systems Builder,AI & Automation,,,
Disability & Access Studies,UX & Accessibility,Accessibility Tools,UX Designer,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Participatory System Design,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Localisation,Multilingual Design Toolkits,Access Strategist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Interface Design,HTML / CSS / JavaScript,UX Designer,Creative & Critical Expression,,,
Critical / Creative Coding,Generative Systems and Algorithmic Expression,OpenFrameworks,Creative Coder / Generative Systems Designer,Creative & Critical Expression,,,
Human–Computer Interaction (HCI),Feedback Systems,Browser Developer Tools,Participatory Technologist,System Infrastructure,,,
User Experience (UX),Sentiment Analysis,Sentiment.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Human-Centred Design,Participatory System Design,Figma,Participatory Technologist,Digital Participation & Inclusion,,,
Design Studies,Speculative and Critical Prototyping,Comfy UI / Stable Diffusion,Speculative Prototyper,Creative & Critical Expression,,,
Digital Humanities,Open Data and Open Data Sources,Open Data Portals,Public Technologist,Data & Visualization,,,
Internet Studies,Platform Governance,TOS;DR,Platform Critic,Platform Governance,,,
Critical Data Studies,Algorithmic Bias,Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Data Science,Machine Learning (ML),TensorFlow.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Media and Platform Studies,Platform Governance,TOS;DR,Platform Critic,Platform Governance,,,
Science and Technology Studies (STS),Artificial Intelligence (AI),Hugging Face APIs,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Political Economy of Technology,Platform Governance,Blacklight (by The Markup),Platform Critic,Platform Governance,,,
Surveillance Studies,Data Surveillance,Blacklight (by The Markup),Platform Critic,Data Justice & Surveillance,,,
Law and Policy,Ethical Deployment and Maintenance,Custom Tool,Technologist,Digital Participation & Inclusion,,,
Archival Studies,Metadata Structuring,Markdown + YAML,Digital Archivist,Archiving & Memory,,,
AI Ethics,Artificial Intelligence (AI),Teachable Machine,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Disability & Access Studies,Multilingual Systems,Figma,Access Strategist,Digital Participation & Inclusion,,,
Participatory Design & Design Justice,Participatory System Design,Consent-Based Survey Tools,Participatory Technologist,Digital Participation & Inclusion,,,
Anthropology & Ethnography,Participatory System Design,Figma,Participatory Technologist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Natural Language Processing (NLP),RiTa.js,Code-Based Storyteller,AI & Automation,,,
Critical / Creative Coding,Live Coding and Performance Systems,Hydra,Live Systems Performer,Creative & Critical Expression,,,
Platform Labour Studies,Citizen Sensing & Participatory Sensing,Data-walking / Field Logging Tools,Public Technologist,Digital Participation & Inclusion,,,
Design Studies,Data Physicalisation & Autographic Visualisation,Arduino + p5.js,Visualisation Ethicist,Creative & Critical Expression,,,
Anthropology & Ethnography,Data-walking / Field Logging Tools,Data-walking tools,Participatory Technologist,Digital Participation & Inclusion,,,
Critical Data Studies,Dataset Genealogy & Dataset Politics,Data provenance dashboards,Dataset Forensics Analyst,Data Justice & Surveillance,,,
Embodied Interaction,Embodied & Sensory Systems,Makey Makey,Sensorial Systems Builder,Creative & Critical Expression,,,
Human-Centred Design,Iterative System Development,Figma,Participatory Technologist,System Infrastructure,,,
Communication Systems and Protocols,OSC / MIDI / DMX Protocols,WebSerial / Serial Parsing,Live Systems Performer,Creative & Critical Expression,,,
Data Science,Prompt Engineering,LangChain,Prompt Architect,AI & Automation,,,
Law and Policy,Public Transparency & Consent Numbness,GDPR Templates,Consent Interface Tester,Governance & Ethics,,,
Infrastructure Studies,Servers and Hosting,Glitch / Render,Infrastructure Mapper,System Infrastructure,,,
Environmental Humanities,Sustainable and Degrowth Approaches to Tech,Energy usage visualisation tools,Civic Infrastructure Designer,Governance & Ethics,,,
AI Ethics,Synthetic Data & Anonymisation,Synthetic dataset libraries,Synthetic Data Designer,AI & Automation,,,
Media and Platform Studies,Moderation Systems,Glitch,Platform Critic,Platform Governance,,,
Digital Humanities,Narrative & Storytelling,RiTa.js,Code-Based Storyteller,Creative & Critical Expression,,,
Surveillance Studies,Signals and Behavioural Inference,Tracker Auditing Tools,Privacy-Focused Designer,Data Justice & Surveillance,,,
Political Economy of Technology,Infrastructure Geopolitics,Render,Policy Hacker,Platform Governance,,,
Archival Studies,Metadata Structuring,Git-based Publishing,Digital Archivist,Archiving & Memory,,,
Disability & Access Studies,Inclusive Infrastructure,Makey Makey,Access Strategist,Digital Participation & Inclusion,,,
Communication & Narrative Studies,Sentiment Interpretation,Sentiment.js,Narrative Systems Builder,AI & Automation,,,
Human–Computer Interaction (HCI),Feedback Systems,ObservableHQ,System Architect,System Infrastructure,,,
Digital Humanities,Open Data and Open Data Sources,Open Data Portals,Policy Hacker,Data & Visualization,,,
Science and Technology Studies (STS),Speculative and Critical Prototyping,Comfy UI / Stable Diffusion,Speculative Prototyper,Creative & Critical Expression,,,
User Experience (UX),Multilingual Systems,WebXR,Access Strategist,Digital Participation & Inclusion,,,
Law and Policy,Digital Rights and Regulation,TOS;DR,Policy Hacker,Governance & Ethics,,,
AI Ethics,Algorithmic Bias,ML5.js,AI Ethicist / Algorithm Analyst,AI & Automation,,,
Data Science,Data Architecture,MongoDB,Data Steward / Architect,Data & Visualization,,,
Design Studies,UX & Accessibility,Accessibility Tools,UX Designer,Digital Participation & Inclusion,,,
Environmental Humanities,Sustainable and Degrowth Approaches to Tech,Energy benchmarking tools,Public Technologist,Governance & Ethics,,,
Embodied Interaction,Embodied & Sensory Systems,Bare Conductive,Critical Technologist,Creative & Critical Expression,,,
Platform Labour Studies,Citizen Sensing & Participatory Sensing,Custom sensor kits,Participatory Technologist,Digital Participation & Inclusion,,,
