TOOLKIT STRUCTURE,TYPE,TITLE,NARRATIVE,HOOK,CORE TOPICS,LINKED KNOWLEDGE AREAS + DISCIPLINES,FORMATS,TOOLS,GUEST SPEAKER,GUEST SPEAKER JOB TITLE / COMPANY,CONTENT OUTLINE LINK,REFERENCES,CORE TOPICS (Cleaned),LINKED KNOWLEDGE AREAS + DISCIPLINES (Cleaned)
11,public-facing,"Sounds Like Code: 
Creative Systems for Live Performance","Discover how artists and coders build live performances using code, visuals, and sound.","“Can code become a 
jam session?”","Live Coding, Algorithmic Expression, Creative Systems, Temporal Systems","Critical / Creative Coding, Communication & Narrative Studies, Digital Humanities","Demo-led walkthroughs + 
student interviews + 
live jam clips","Hydra, TidalCycles, Sonic Pi, 
OpenFrameworks, Cinder","Shelly Knotts or 
Renick Bell (Live Coding Performance)",,,"Blackwell, A.F. et al. (2022) Live coding: a user’s manual. Cambridge, Massachusetts: The MIT Press (Software studies).","algorithmic bias, critical / creative coding, ml5.js / tensorflow.js, narrative systems builder","communication and narrative studies, critical / creative coding, digital humanities"
12,public-facing,"Feeling the System: Sensors, 
Movement & Real-Time Interaction","How can bodies, touch, and motion 
become part of a system interface?",“What if the interface was your skin?”,"Computational Embodiment, Real-Time Interaction, 
Embedded Sensors, TinyML Systems","Embodied Interaction, HCI, Participatory Design, 
More-than-Human and Posthuman Research",System build demo + touch-based interaction project showcase,"Capacitive sensors, Arduino, 
TinyML, TensorFlow Lite","Mimu 
(Sensor-based performance artist)",,,,"computational embodiment and real-time interaction, embodied & sensory systems, tinyml / tensorflow lite","embodied interaction, media and platform studies, participatory system design, policy hacker"
13,public-facing,"Explore how projection, spatial computing, 
and protocols like MIDI/OSC enable immersive, 
shared experiences.","Explore how projection, spatial computing, 
and protocols 
like MIDI/OSC enable immersive, 
shared experiences.",“Where do screens end and spaces begin?”,"XR & Spatial Computing, Projection Mapping, 
Real-Time Protocols, System Interoperability","Infrastructure Studies, Communication Systems & 
Protocols, Creative Coding, 
Environmental Humanities","Mixed reality clips + 
student showcases + 
behind-the-scenes of 
immersive setups","Unity, Snap, Mad Mapper, 
A-Frame, OSC, MIDI, DMX","Keiken Collective or 
Amelia Winger-Bearskin",,,,"critical / creative coding, mediapipe / posenet, sensorial systems builder, speculative prototyper","communication systems and protocols, critical / creative coding, environmental humanities, infrastructure studies, osc / midi / dmx protocols"
14,technical deep dives,"Scraping the Web: From Source 
Code to Structured Data",,,"Data scraping + 
surveillance ecosystems",,Mini-workshop,"BeautifulSoup, Postman, APIs",,,,,"data science, surveillance studies",
15,technical deep dives,Train Your Own Inclusive Classifier,,,"Dataset bias, small-scale training",,Mini-workshop,"Teachable Machine, TensorFlow.js",,,,,"critical data studies, human–computer interaction (hci)",
16,technical deep dives,Build a Recommender System with Real Feeds,,,Simple optimisation loops,,Mini-workshop,"ObservableHQ, Python (pandas)",,,,,synthetic data & anonymisation,
17,technical deep dives,ToS Dissection Lab,,,UX critique + Blacklight audit,,Mini-workshop,"Blacklight, TOS;DR, EULAlyzer",,,,,blacklight (by the markup),
18,technical deep dives,Where Is My Data? A Server Mapping Studio,,,Data centre geography + mapping,,Mini-workshop,"IP address traceroutes, 
submarine cable maps",,,,,human-centred design,
19,technical deep dives,Redesign a Biased Interface,,,UI/UX anti-patterns + localisation,,Mini-workshop,"Figma, a11y tools",,,,,synthetic data & anonymisation,
20, technical deep dives,Speculative Dataset Fiction Lab,,,Creative dataset generation + ethics,,Mini-workshop,"p5.js, dataset curation templates",,,,,speculative dataset curator,
21, technical deep dives,Cooperative Platform Sketchathon,,,Platform model co-design,,Mini-workshop,Miro/Figma + system diagramming,,,,,platform critic,
22, technical deep dives,Live Code Visuals & Sound Systems,,,Creative systems demo,,Mini-workshop,"Hydra, Sonic Pi, TidalCycles",,,,,live systems performer,
23, technical deep dives,Sensor Hack: Make Data Physical,,,Real-time embodied systems,,Mini-workshop,"Arduino, Capacitive sensors, 
TensorFlow Lite",,,,,embodied & sensory systems,
24, technical deep dives,Immersive Systems + Protocol Jam,,,Real-time spatial protocols,,Mini-workshop,"OSC, Unity, MadMapper, MIDI",,,,,speculative prototyper,
25, technical deep dives,Intro to LangChain & Prompt Chaining,,,Prompt workflows + generative chaining,,Mini-workshop,"LangChain, GPT-based tools",,,,,generative culture practitioner,
26, technical deep dives,R for Platform Equity Analysis,,,Equity data viz + statistical analysis,,Mini-workshop,"R (ggplot2, tidyverse)",,,,,dataset forensics analyst,
27, technical deep dives,Torchaudio Sound Experiments,,,Voice models + AI sound systems,,Mini-workshop,"Torchaudio, audio datasets",,,,,embodied & sensory systems,
28, technical deep dives,GitHub Basics for Critical Coders,,"""Let’s act on it by coding. 
Let’s hard-code the equality.""","Version control, publishing workflows, collaboration",,Mini-workshop,"GitHub Desktop, GitHub CLI, GitHub Pages",,,Content Outline,,"embodied interaction, public technologist, python (intro)",
29, technical deep dives,"Data Cleaning, Fairness & Overfitting",,,"Handling imbalances, quality control, data hygiene",,Mini-workshop,"pandas, scikit-learn",,,"We did a good chunk of these in Research Methods Week 7 & 8  
(https://git.arts.ac.uk/UAL-MA-Internet-Equalities/transcript-coding-to-dataset) 
(https://git.arts.ac.uk/UAL-MA-Internet-Equalities/ml-for-research)",,"data communicator, data science, live coding and performance systems",
30, technical deep dives,Crowd-Sourced Dataset Generation,,,Co-creating and reflecting on labelled datasets,,Mini-workshop,"Airtable, Google Forms, Python scripting",,,,,dataset forensics analyst,
31, technical deep dives,Tangible Data & Visualising Harm,,,Embodied visualisation of inequality or emotion,,Mini-workshop,"D3.js, p5.js",,,,,visualisation ethicist,
32, technical deep dives,Deploying & Hosting AI Models,,,"Deployment, hosting and access to public-facing ML tools",,Mini-workshop,"Hugging Face Spaces, Streamlit, Flask",,,,,"accessibility tools, ethical deployment and maintenance",
33, technical deep dives,Python Data Science Crash Course,,,"Intro to wrangling, analysis and visualisation",,Mini-workshop,"pandas, seaborn, matplotlib",,,"We did both pandas and matplotlib in 
Research Methods Week 7  
(https://git.arts.ac.uk/UAL-MA-Internet-Equalities/transcript-coding-to-dataset)  
and can add seaborn into the repository",,"python (intro), visualisation ethicist",
34, technical deep dives,ML + Figma Prototyping Bridge,,,Incorporating ML insights into interface decisions,,Mini-workshop,"Figma, ML model outputs (e.g. sentiment)",,,,,consent interface tester,
35,support events [Hackathon],Platform Rewired: 24-Hour Systems Reimagination,"Apply technical tools + narrative 
framing to reimagine a digital platform 
(social media, search engine, app) for 
equity, accountability, and creative expression.",,,,,,"Civic Tech mentors: 
Simply Secure, U.S. Digital Service",,,,,
36,support events [Webinar Series],“How I See the System” – Public Talks & Interviews,"Invite designers, technologists, activists, 
and artists to share how they 
decode and redesign digital systems.",,,"“Making Visible What Platforms Hide”, 
“From Dataset to Protest”, 
“Building With, Not For”","Short presentations (15–20 mins) + 
student Q&A",,"Caroline Sinders (design justice & AI), 
Sarah Friend (artist working on platform/crypto critique), 
Amelia Winger-Bearskin (XR + Indigenous tech), 
Joy Buolamwini (AI fairness, if available)",,,,,"git / github, media and platform studies, node.js / express, open data portals"
37,support events [Challenge Series],"""Can You Explain It?” – Visual Explainers by Students","Encourage students to contribute 
to the toolkit by creating short 
explainers (1–2 min) on a technical 
or conceptual topic using 
plain language and visuals.","“Explain ___ to someone with 
no background in tech”",,,,"Figma, Canva, OBS, or even TikTok",,,,,,
38,support events [Challenge Series],"Tool Swap Week: One New Tool, One Outcome","Get students (and staff?) to 
try one toolkit tool they 
haven’t touched before, 
and create something with it",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Online Toolkit Outlining,,,,,,,,,,,,,,
Tools & Technologies Covered in Online Toolkit ,,,,,,,,,,,,,,
"The following topics and technologies are introduced briefly or not covered in class, and are instead supported through a comprehensive Online Toolkit, accessible throughout the program: ",,,,,,,,,,,,,,
Category ,,,,Tools ,,,,,,,,,,
Advanced Data & ML ,,,,"R (ggplot2, tidyverse), ObservableHQ, LangChain, Torchaudio, Postman, web scraping (BeautifulSoup)",,,,,,,,,,
Generative AI ,,,,"StyleGAN, Pix2Pix, CLIP Interrogator, ComfyUI, VQGAN, mage.space",,,,,,,,,,
XR & Projection Mapping ,,,,"Unity, Snap, Mad Mapper, extended A-Frame workflows ",,,,,,,,,,
Creative Coding + Live Systems ,,,,"Hydra, TidalCycles, Sonic Pi, OpenFrameworks, Cinder ",,,,,,,,,,
Embedded & Sensor Workflows ,,,,"Capacitive sensors, multiplexing (Arduino), TinyML, TensorFlow Lite ",,,,,,,,,,
Protocol-Based Interaction ,,,,"OSC, MIDI, DMX ",,,,,,,,,,
Privacy Auditing ,,,,"EULAlyzer, StopBadware, security headers (basic review) ",,,,,,,,,,
